race,age_group,state,population
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,South Carolina,347
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,South Dakota,33
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Tennessee,428
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Texas,3086
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,United States,71686
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Utah,2898
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Vermont,26
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Virginia,805
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Washington,6232
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,West Virginia,54
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Wisconsin,238
Non-Hispanic Native Hawaiian or Other Pacific Islander,45-54 years,Wyoming,43
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Alabama,239
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Alaska,661
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Arizona,1237
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Arkansas,445
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,California,18276
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Colorado,822
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Connecticut,172
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Delaware,46
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,District of Columbia,28
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Florida,1731
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Georgia,635
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Hawaii,15139
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Idaho,237
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Illinois,428
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Indiana,238
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Iowa,163
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Kansas,196
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Kentucky,216
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Louisiana,174
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Maine,43
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Maryland,389
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Massachusetts,309
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Michigan,328
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Minnesota,281
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Mississippi,97
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Missouri,616
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Montana,67
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Nebraska,112
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Nevada,1847
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,New Hampshire,51
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,New Jersey,316
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,New Mexico,214
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,New York,1020
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,North Carolina,600
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,North Dakota,28
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Ohio,436
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Oklahoma,361
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Oregon,1319
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Pennsylvania,428
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Rhode Island,84
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,South Carolina,233
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,South Dakota,42
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Tennessee,327
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Texas,2407
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,United States,61126
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Utah,2256
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Vermont,27
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Virginia,659
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Washington,4842
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,West Virginia,48
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Wisconsin,202
Non-Hispanic Native Hawaiian or Other Pacific Islander,55-64 years,Wyoming,54
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Alabama,134
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Alaska,308
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Arizona,784
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Arkansas,202
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,California,10502
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Colorado,402
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Connecticut,70
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Delaware,24
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,District of Columbia,19
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Florida,1127
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Georgia,325
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Hawaii,10381
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Idaho,149
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Illinois,215
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Indiana,157
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Iowa,107
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Kansas,100
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Kentucky,112
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Louisiana,119
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Maine,32
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Maryland,212
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Massachusetts,198
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Michigan,238
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Minnesota,142
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Mississippi,72
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Missouri,280
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Montana,51
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Nebraska,49
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Nevada,1395
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,New Hampshire,25
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,New Jersey,186
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,New Mexico,132
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,New York,509
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,North Carolina,300
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,North Dakota,25
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Ohio,265
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Oklahoma,203
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Oregon,880
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Pennsylvania,232
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Rhode Island,24
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,South Carolina,153
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,South Dakota,43
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Tennessee,213
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Texas,1287
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,United States,36809
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Utah,1269
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Vermont,22
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Virginia,393
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Washington,2546
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,West Virginia,36
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Wisconsin,138
Non-Hispanic Native Hawaiian or Other Pacific Islander,65-74 years,Wyoming,22
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Alabama,56
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Alaska,107
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Arizona,320
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Arkansas,46
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,California,4371
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Colorado,124
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Connecticut,20
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Delaware,5
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,District of Columbia,9
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Florida,391
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Georgia,122
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Hawaii,4832
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Idaho,39
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Illinois,96
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Indiana,48
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Iowa,36
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Kansas,39
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Kentucky,35
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Louisiana,42
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Maine,5
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Maryland,75
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Massachusetts,97
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Michigan,62
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Minnesota,42
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Mississippi,29
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Missouri,89
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Montana,34
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Nebraska,27
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Nevada,527
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,New Hampshire,7
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,New Jersey,91
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,New Mexico,53
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,New York,249
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,North Carolina,127
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,North Dakota,8
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Ohio,102
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Oklahoma,68
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Oregon,258
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Pennsylvania,68
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Rhode Island,19
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,South Carolina,50
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,South Dakota,5
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Tennessee,72
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Texas,464
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,United States,14797
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Utah,407
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Vermont,4
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Virginia,138
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Washington,801
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,West Virginia,17
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Wisconsin,45
Non-Hispanic Native Hawaiian or Other Pacific Islander,75-84 years,Wyoming,19
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Alabama,2558
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Alaska,9707
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Arizona,13536
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Arkansas,9704
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,California,145491
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Colorado,7596
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Connecticut,1269
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Delaware,343
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,District of Columbia,347
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Florida,13575
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Georgia,6446
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Hawaii,134208
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Idaho,3153
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Illinois,3625
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Indiana,2513
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Iowa,3518
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Kansas,2715
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Kentucky,2848
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Louisiana,1785
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Maine,379
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Maryland,3072
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Massachusetts,2867
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Michigan,2737
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Minnesota,2858
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Mississippi,1053
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Missouri,7982
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Montana,737
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Nebraska,1185
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Nevada,19078
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,New Hampshire,383
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,New Jersey,3125
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,New Mexico,1384
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,New York,8904
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,North Carolina,6808
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,North Dakota,465
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Ohio,4615
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Oklahoma,6096
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Oregon,16854
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Pennsylvania,4086
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Rhode Island,676
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,South Carolina,3163
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,South Dakota,491
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Tennessee,3566
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Texas,25123
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,United States,586346
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Utah,30824
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Vermont,196
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Virginia,6465
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Washington,53310
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,West Virginia,403
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Wisconsin,2130
Non-Hispanic Native Hawaiian or Other Pacific Islander,All Ages,Wyoming,394
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Alabama,1000
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Alaska,4401
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Arizona,4471
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Arkansas,4718
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,California,45499
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Colorado,2685
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Connecticut,440
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Delaware,121
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,District of Columbia,110
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Florida,4023
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Georgia,2403
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Hawaii,45775
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Idaho,1280
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Illinois,1227
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Indiana,943
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Iowa,1572
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Kansas,1034
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Kentucky,1175
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Louisiana,603
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Maine,143
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Maryland,907
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Massachusetts,911
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Michigan,936
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Minnesota,1140
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Mississippi,377
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Missouri,3436
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Montana,244
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Nebraska,499
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Nevada,6312
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,New Hampshire,105
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,New Jersey,1052
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,New Mexico,417
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,New York,2884
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,North Carolina,2663
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,North Dakota,178
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Ohio,1816
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Oklahoma,2672
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Oregon,6139
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Pennsylvania,1582
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Rhode Island,262
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,South Carolina,1328
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,South Dakota,205
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Tennessee,1255
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Texas,9229
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,United States,207721
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Utah,13943
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Vermont,66
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Virginia,2191
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Washington,20281
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,West Virginia,130
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Wisconsin,807
Non-Hispanic Native Hawaiian or Other Pacific Islander,Under 25 years,Wyoming,131
Non-Hispanic White, 85 years and over,Alabama,71044
Non-Hispanic White, 85 years and over,Alaska,5024
Non-Hispanic White, 85 years and over,Arizona,117819
Non-Hispanic White, 85 years and over,Arkansas,51469
Non-Hispanic White, 85 years and over,California,444671
Non-Hispanic White, 85 years and over,Colorado,75321
Non-Hispanic White, 85 years and over,Connecticut,81819
Non-Hispanic White, 85 years and over,Delaware,16358
Non-Hispanic White, 85 years and over,District of Columbia,4004
Non-Hispanic White, 85 years and over,Florida,434338
Non-Hispanic White, 85 years and over,Georgia,108659
Non-Hispanic White, 85 years and over,Hawaii,7067
Non-Hispanic White, 85 years and over,Idaho,27705
Non-Hispanic White, 85 years and over,Illinois,216038
Non-Hispanic White, 85 years and over,Indiana,119336
Non-Hispanic White, 85 years and over,Iowa,76876
Non-Hispanic White, 85 years and over,Kansas,60659
Non-Hispanic White, 85 years and over,Kentucky,74351
Non-Hispanic White, 85 years and over,Louisiana,59671
Non-Hispanic White, 85 years and over,Maine,32758
Non-Hispanic White, 85 years and over,Maryland,85641
Non-Hispanic White, 85 years and over,Massachusetts,143360
Non-Hispanic White, 85 years and over,Michigan,185485
Non-Hispanic White, 85 years and over,Minnesota,116352
Non-Hispanic White, 85 years and over,Mississippi,38459
Non-Hispanic White, 85 years and over,Missouri,118846
Non-Hispanic White, 85 years and over,Montana,21700
Non-Hispanic White, 85 years and over,Nebraska,40962
Non-Hispanic White, 85 years and over,Nevada,31826
Non-Hispanic White, 85 years and over,New Hampshire,29588
Non-Hispanic White, 85 years and over,New Jersey,158960
Non-Hispanic White, 85 years and over,New Mexico,24326
Non-Hispanic White, 85 years and over,New York,337803
Non-Hispanic White, 85 years and over,North Carolina,150132
Non-Hispanic White, 85 years and over,North Dakota,18385
Non-Hispanic White, 85 years and over,Ohio,228147
Non-Hispanic White, 85 years and over,Oklahoma,63671
Non-Hispanic White, 85 years and over,Oregon,77470
Non-Hispanic White, 85 years and over,Pennsylvania,302830
Non-Hispanic White, 85 years and over,Rhode Island,25480
Non-Hispanic White, 85 years and over,South Carolina,69300
Non-Hispanic White, 85 years and over,South Dakota,20258
Non-Hispanic White, 85 years and over,Tennessee,104779
Non-Hispanic White, 85 years and over,Texas,267642
Non-Hispanic White, 85 years and over,United States,5201152
Non-Hispanic White, 85 years and over,Utah,34560
Non-Hispanic White, 85 years and over,Vermont,14005
Non-Hispanic White, 85 years and over,Virginia,119393
Non-Hispanic White, 85 years and over,Washington,116386
Non-Hispanic White, 85 years and over,West Virginia,38175
Non-Hispanic White, 85 years and over,Wisconsin,122299
Non-Hispanic White, 85 years and over,Wyoming,9945
Non-Hispanic White,25-34 years,Alabama,394138
Non-Hispanic White,25-34 years,Alaska,68947
Non-Hispanic White,25-34 years,Arizona,458909
Non-Hispanic White,25-34 years,Arkansas,270754
Non-Hispanic White,25-34 years,California,1979679
Non-Hispanic White,25-34 years,Colorado,587127
Non-Hispanic White,25-34 years,Connecticut,254601
Non-Hispanic White,25-34 years,Delaware,73681
Non-Hispanic White,25-34 years,District of Columbia,80929
Non-Hispanic White,25-34 years,Florida,1288031
Non-Hispanic White,25-34 years,Georgia,703675
Non-Hispanic White,25-34 years,Hawaii,47184
Non-Hispanic White,25-34 years,Idaho,180510
Non-Hispanic White,25-34 years,Illinois,997925
Non-Hispanic White,25-34 years,Indiana,663047
Non-Hispanic White,25-34 years,Iowa,320795
Non-Hispanic White,25-34 years,Kansas,271889
Non-Hispanic White,25-34 years,Kentucky,479025
Non-Hispanic White,25-34 years,Louisiana,368114
Non-Hispanic White,25-34 years,Maine,146475
Non-Hispanic White,25-34 years,Maryland,388380
Non-Hispanic White,25-34 years,Massachusetts,644018
Non-Hispanic White,25-34 years,Michigan,912409
Non-Hispanic White,25-34 years,Minnesota,559982
Non-Hispanic White,25-34 years,Mississippi,204510
Non-Hispanic White,25-34 years,Missouri,625217
Non-Hispanic White,25-34 years,Montana,113696
Non-Hispanic White,25-34 years,Nebraska,189405
Non-Hispanic White,25-34 years,Nevada,191358
Non-Hispanic White,25-34 years,New Hampshire,145861
Non-Hispanic White,25-34 years,New Jersey,548883
Non-Hispanic White,25-34 years,New Mexico,88321
Non-Hispanic White,25-34 years,New York,1452214
Non-Hispanic White,25-34 years,North Carolina,822696
Non-Hispanic White,25-34 years,North Dakota,90348
Non-Hispanic White,25-34 years,Ohio,1154556
Non-Hispanic White,25-34 years,Oklahoma,332729
Non-Hispanic White,25-34 years,Oregon,422358
Non-Hispanic White,25-34 years,Pennsylvania,1198232
Non-Hispanic White,25-34 years,Rhode Island,94923
Non-Hispanic White,25-34 years,South Carolina,403996
Non-Hispanic White,25-34 years,South Dakota,88515
Non-Hispanic White,25-34 years,Tennessee,652202
Non-Hispanic White,25-34 years,Texas,1589134
Non-Hispanic White,25-34 years,United States,25186043
Non-Hispanic White,25-34 years,Utah,349189
Non-Hispanic White,25-34 years,Vermont,66803
Non-Hispanic White,25-34 years,Virginia,682552
Non-Hispanic White,25-34 years,Washington,722810
Non-Hispanic White,25-34 years,West Virginia,194100
Non-Hispanic White,25-34 years,Wisconsin,558276
Non-Hispanic White,25-34 years,Wyoming,62935
Non-Hispanic White,35-44 years,Alabama,374816
Non-Hispanic White,35-44 years,Alaska,59026
Non-Hispanic White,35-44 years,Arizona,435704
Non-Hispanic White,35-44 years,Arkansas,259615
Non-Hispanic White,35-44 years,California,1755608
Non-Hispanic White,35-44 years,Colorado,518372
Non-Hispanic White,35-44 years,Connecticut,250827
Non-Hispanic White,35-44 years,Delaware,62976
Non-Hispanic White,35-44 years,District of Columbia,45565
Non-Hispanic White,35-44 years,Florida,1161141
Non-Hispanic White,35-44 years,Georgia,665734
Non-Hispanic White,35-44 years,Hawaii,39871
Non-Hispanic White,35-44 years,Idaho,178557
